Employee_ID,Att_Date,Status,Hours Worked 
E0001,03-01-2025,leave,
E0001,06 Jan 2025,Present,8
E0001,01/08/2025,PRESENT,8
E0001,09 Jan 2025,Present,8
E0001,01/10/2025,PRESENT,8
E0001,13-01-2025,Present,8
E0001,01/14/2025,present,8
E0001,15-01-2025,PRESENT,7.5
E0001,2025-01-17,L,
E0001,20 Jan 2025,Present,8
E0001,21-01-2025,wfh,7
E0001,2025-01-22,P,8
E0001,2025-01-24,present,7
E0001,28-01-2025,Present,7
E0001,2025-01-29,present,8
E0001,31-01-2025,Work From Home,9
E0001,2025-02-03,P,8
E0001,02/05/2025,P,8
E0001,06-02-2025,Present,7.5
E0001,10 Feb 2025,A,
E0001,11-02-2025,PRESENT,8
E0001,12 Feb 2025,P,7
E0001,2025-02-14,PRESENT,9
E0001,02/17/2025,Present,8
E0001,19-02-2025,P,7.5
E0001,20 Feb 2025,present,8
E0001,2025-02-24,PRESENT,7.5
E0001,25 Feb 2025,present,8
E0001,27 Feb 2025,Absent,
E0001,2025-03-03,P,8
E0001,04-03-2025,wfh,9
E0001,05-03-2025,Present,8
E0001,2025-03-06,A,
E0001,2025-03-07,P,8
E0001,2025-03-11,P,9
E0001,2025-03-13,present,7
E0001,2025-03-14,absent,
E0001,2025-03-17,P,7
E0001,18 Mar 2025,P,7.5
E0001,19-03-2025,Present,8
E0001,03/20/2025,P,8
E0002,03 Jan 2025,Present,8
E0002,01/06/2025,present,9
E0002,07 Jan 2025,PRESENT,8
E0002,2025-01-09,wfh,7.5
E0002,13 Jan 2025,present,7.5
E0002,01/14/2025,leave,
E0002,2025-01-15,PRESENT,9
E0002,2025-01-16,wfh,7.5
E0002,17 Jan 2025,P,8
E0002,20-01-2025,A,
E0002,21-01-2025,Present,9
E0002,2025-01-22,present,8
E0002,2025-01-23,A,
E0002,24 Jan 2025,Present,8
E0002,28-01-2025,PRESENT,9
E0002,30-01-2025,PRESENT,8
E0002,31 Jan 2025,present,8
E0002,03 Feb 2025,present,8
E0002,02/04/2025,WFH,7.5
E0002,2025-02-05,P,8
E0002,2025-02-06,PRESENT,7
E0002,10-02-2025,PRESENT,8
E0002,2025-02-11,PRESENT,7
E0002,02/12/2025,wfh,7
E0002,2025-02-14,P,7
E0002,17 Feb 2025,PRESENT,7.5
E0002,02/18/2025,PRESENT,8
E0002,19 Feb 2025,wfh,8
E0002,2025-02-20,PRESENT,7
E0002,24-02-2025,present,8
E0002,25-02-2025,Present,9
E0002,26 Feb 2025,present,9
E0002,27-02-2025,P,9
E0002,28-02-2025,PRESENT,7
E0002,03-03-2025,A,
E0002,04 Mar 2025,L,
E0002,06-03-2025,P,8
E0002,10-03-2025,Present,9
E0002,2025-03-11,Present,8
E0002,12 Mar 2025,P,8
E0002,13 Mar 2025,present,7.5
E0002,2025-03-14,WFH,8
E0003,02 Jan 2025,Present,8
E0003,03 Jan 2025,PRESENT,7.5
E0003,06-01-2025,PRESENT,7.5
E0003,07 Jan 2025,Present,8
E0003,08-01-2025,Present,8
E0003,2025-01-09,P,8
E0003,2025-01-10,present,7
E0003,2025-01-13,PRESENT,8
E0003,14 Jan 2025,PRESENT,8
E0003,15 Jan 2025,present,7.5
E0003,2025-01-16,On Leave,
E0003,20-01-2025,PRESENT,8
E0003,01/21/2025,Present,8
E0003,22-01-2025,Present,9
E0003,23 Jan 2025,Leave,
E0003,24 Jan 2025,leave,
E0003,28 Jan 2025,PRESENT,7.5
E0003,01/29/2025,Present,9
E0003,01/30/2025,present,8
E0003,31 Jan 2025,present,9
E0003,2025-02-03,present,7
E0003,2025-02-04,present,8
E0003,06-02-2025,P,7
E0003,2025-02-07,PRESENT,9
E0003,10-02-2025,PRESENT,8
E0003,11 Feb 2025,present,8
E0003,12 Feb 2025,absent,
E0003,02/14/2025,Leave,
E0003,02/17/2025,PRESENT,7.5
E0003,02/18/2025,Present,9
E0003,20-02-2025,A,
E0003,24 Feb 2025,present,9
E0003,02/25/2025,present,8
E0003,02/26/2025,Present,8
E0003,27 Feb 2025,present,8
E0003,28-02-2025,leave,
E0003,03/03/2025,P,8
E0003,03/04/2025,A,
E0003,2025-03-05,PRESENT,7.5
E0003,07 Mar 2025,Present,7.5
E0003,10 Mar 2025,present,8
E0003,11-03-2025,present,8
E0003,12-03-2025,present,8
E0003,14 Mar 2025,PRESENT,7
E0003,2025-03-17,absent,
E0004,01/02/2025,PRESENT,8
E0004,01/03/2025,P,8
E0004,01/06/2025,P,9
E0004,07 Jan 2025,Present,7.5
E0004,2025-01-08,P,8
E0004,09 Jan 2025,Work From Home,7.5
E0004,2025-01-13,P,8
E0004,01/14/2025,P,9
E0004,01/15/2025,P,9
E0004,16-01-2025,P,8
E0004,01/17/2025,Present,7
E0004,2025-01-21,PRESENT,7.5
E0004,2025-01-22,P,8
E0004,23 Jan 2025,WFH,9
E0004,01/27/2025,leave,
E0004,01/28/2025,A,
E0004,29-01-2025,PRESENT,7.5
E0004,2025-01-30,PRESENT,8
E0004,03-02-2025,Present,9
E0004,2025-02-04,PRESENT,8
E0004,05 Feb 2025,present,8
E0004,06-02-2025,P,8
E0004,2025-02-07,PRESENT,7
E0004,02/10/2025,wfh,8
E0004,11 Feb 2025,Work From Home,9
E0004,12 Feb 2025,PRESENT,7
E0004,13 Feb 2025,present,8
E0004,2025-02-14,Present,9
E0004,02/17/2025,PRESENT,7
E0004,2025-02-19,present,8
E0004,20 Feb 2025,wfh,7.5
E0004,02/21/2025,present,8
E0004,02/24/2025,absent,
E0004,25 Feb 2025,Present,9
E0004,2025-02-26,Present,8
E0004,02/27/2025,PRESENT,8
E0004,28 Feb 2025,present,7
E0004,03/03/2025,P,9
E0004,05 Mar 2025,wfh,8
E0004,03/06/2025,Present,9
E0004,2025-03-10,PRESENT,7.5
E0004,03/11/2025,PRESENT,8
E0004,2025-03-13,P,9
E0004,14 Mar 2025,leave,
E0006,02-01-2025,wfh,7.5
E0006,03 Jan 2025,A,
E0006,06-01-2025,present,8
E0006,2025-01-07,present,9
E0006,09-01-2025,Present,8
E0006,10-01-2025,PRESENT,8
E0006,2025-01-13,PRESENT,8
E0006,01/14/2025,Present,8
E0006,2025-01-15,Work From Home,8
E0006,17 Jan 2025,P,7
E0006,2025-01-20,present,7.5
E0006,22-01-2025,P,7
E0006,2025-01-23,PRESENT,8
E0006,24 Jan 2025,P,8
E0006,01/27/2025,present,7
E0006,01/28/2025,Present,7.5
E0006,30-01-2025,Present,8
E0006,2025-01-31,Present,7
E0006,2025-02-04,present,9
E0006,02/06/2025,present,8
E0006,07 Feb 2025,PRESENT,8
E0006,02/10/2025,present,9
E0006,2025-02-12,P,8
E0006,13 Feb 2025,present,7
E0006,2025-02-14,PRESENT,7.5
E0006,17-02-2025,P,8
E0006,19-02-2025,Work From Home,8
E0006,02/21/2025,A,
E0006,02/24/2025,P,8
E0006,02/25/2025,P,8
E0006,2025-02-26,present,8
E0006,02/27/2025,PRESENT,8
E0006,28 Feb 2025,PRESENT,7
E0006,2025-03-03,P,7.5
E0006,04-03-2025,Present,7.5
E0006,05-03-2025,P,9
E0006,03/06/2025,Present,8
E0006,07 Mar 2025,P,8
E0006,10-03-2025,On Leave,
E0006,11 Mar 2025,Present,8
E0006,12-03-2025,PRESENT,8
E0006,13 Mar 2025,wfh,7.5
E0006,03/17/2025,Present,8
E0006,03/19/2025,PRESENT,8
E0007,02 Jan 2025,Present,8
E0007,01/03/2025,Present,9
E0007,07-01-2025,present,8
E0007,09-01-2025,Absent,
E0007,13 Jan 2025,present,7.5
E0007,14-01-2025,PRESENT,9
E0007,15-01-2025,present,9
E0007,2025-01-16,PRESENT,8
E0007,01/20/2025,PRESENT,9
E0007,21 Jan 2025,L,
E0007,01/22/2025,P,7.5
E0007,01/23/2025,P,8
E0007,2025-01-24,P,8
E0007,01/27/2025,P,9
E0007,01/28/2025,PRESENT,8
E0007,29 Jan 2025,P,7.5
E0007,2025-01-30,PRESENT,8
E0007,01/31/2025,Present,7
E0007,03-02-2025,present,7
E0007,2025-02-05,PRESENT,7
E0007,02/06/2025,Present,7
E0007,2025-02-11,Absent,
E0007,13-02-2025,A,
E0007,14-02-2025,Present,8
E0007,02/17/2025,P,7.5
E0007,18 Feb 2025,present,8
E0007,19 Feb 2025,PRESENT,9
E0007,02/21/2025,On Leave,
E0007,2025-02-24,P,8
E0007,25 Feb 2025,L,
E0007,2025-02-26,present,8
E0007,27-02-2025,Work From Home,8
E0007,02/28/2025,wfh,7
E0007,03-03-2025,WFH,8
E0007,04-03-2025,On Leave,
E0007,2025-03-05,present,7.5
E0007,03/06/2025,On Leave,
E0007,07 Mar 2025,Absent,
E0007,10 Mar 2025,Absent,
E0007,11 Mar 2025,PRESENT,7
E0007,2025-03-12,absent,
E0007,14-03-2025,Present,7.5
E0009,01/03/2025,Present,8
E0009,06-01-2025,P,8
E0009,01/07/2025,P,7.5
